   ,SPECIES_ID,SPECIES_NAME,ALPHA_CODE,Download,TAXONOMIC_ORDER,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD
869,6921,Rufous-capped Warbler,RCWA,8,963,Basileuterus rufifrons,"1, 0","1, 0",,,
1062,9138,Olive-capped Warbler,OLIW,8,944,Setophaga pityophila,0A,"0A, 0",,,
1063,9141,Arrowhead Warbler,ARRW,8,927,Setophaga pharetra,0A,"0A, 0",,,
1064,9145,Bahama Yellowthroat,BAYE,8,924,Geothlypis rostrata,"1, 1C","1, 1C, 0",,,
659,5351,Rustic Bunting,RUBU,9,1060,Emberiza rustica,"1, 1C","1, 1C, 1B",,,
664,5400,Vesper Sparrow,VESP,9,1014,Pooecetes gramineus,"1B, 1, 1C","1B, 1, 1C, 1A",British Columbia,,
665,5410,Ipswich Sparrow,IPSP,9,1024,Passerculus sandwichensis princeps,"1B, 1","1B, 1",,,
666,5420,Savannah Sparrow,SAVS,9,1023,Passerculus sandwichensis,"1, 1C, 0","1, 1C, 0, 1B",,,
667,5430,Belding's Savannah Sparrow,BSSP,9,1025,Passerculus sandwichensis beldingi,"1, 1C","1, 1C",,,
668,5440,Large-billed Sparrow,LBSP,9,1026,Passerculus sandwichensis rostratus,"1, 1C","1, 1C",,,
669,5450,Baird's Sparrow,BAIS,9,1029,Centronyx bairdii,"1, 1C","1, 1C, 0",,,
670,5460,Grasshopper Sparrow,GRSP,9,1027,Ammodramus savannarum,"1, 1C, 0","1, 1C, 0, 0A",,,
671,5464,Florida Grasshopper Sparrow,FGSP,9,1028,Ammodramus savannarum floridanus,"1, 1C, 0","1, 1C, 0, 0A",Y,,
672,5470,Henslow's Sparrow,HESP,9,1030,Ammodramus henslowii,"0, 1C, 1","0, 1C, 1, 0A","Ontario, Québec",,
673,5480,LeConte's Sparrow,LCSP,9,1031,Ammodramus leconteii,"1, 1C, 0","1, 1C, 0",,,
674,5490,Saltmarsh Sparrow,SALS,9,1033,Ammodramus caudacuta,"1, 1B, 1C","1, 1B, 1C, 0",,,
675,5491,Nelson's Sparrow,NESP,9,1032,Ammospiza nelsoni,"1, 1B, 1C","1, 1B, 1C, 0",,,
676,5499,Unidentified Sharp-tailed Sparrow,STSP,9,1034,,"1, 1B, 1C","1, 1B, 1C, 0",,,
677,5500,Seaside Sparrow,SESP,9,1035,Ammodramus maritima,1B,"1B, 1, 1A",,,
678,5510,Dusky Seaside Sparrow,DSSP,9,1036,Ammodramus maritima nigrescens,1B,1B,,,
679,5511,Cape Sable Seaside Sparrow,CSSS,9,1037,Ammodramus maritimus mirabilis,1B,1B,Y,,
680,5520,Lark Sparrow,LASP,9,1015,Chondestes grammacus,1B,"1B, 1, 1A, 1P",,,
681,5530,Harris's Sparrow,HASP,9,1044,Zonotrichia querula,1A,"1A, 1B, 1D",,,
682,5540,White-crowned Sparrow,WCSP,9,1045,Zonotrichia leucophrys,1B,"1B, 1, 1A, 1P",,,
683,5541,Eastern White-crowned Sparrow,EWCS,9,1046,Zonotrichia leucophrys leucophrys,1B,"1B, 1, 1A",,,
684,5546,Mountain White-crowned Sparrow,MWCS,9,1047,Zonotrichia leucophrys oriantha,1B,"1B, 1, 1A, 1P",,,
685,5547,Puget Sound White-crowned Sparrow,PSWS,9,1048,Zonotrichia leucophrys pugetensis,1B,"1B, 1, 1A",,,
686,5550,Gambel's White-crowned Sparrow,GWCS,9,1049,Zonotrichia leucophrys gambelii,1B,"1B, 1, 1A, 1P",,,
687,5560,Nuttall's White-crowned Sparrow,NWCS,9,1050,Zonotrichia leucophrys nuttalli,1B,"1B, 1, 1A",,,
688,5570,Golden-crowned Sparrow,GCSP,9,1051,Zonotrichia atricapilla,"1B, 1A","1B, 1A, 1",,,
689,5580,White-throated Sparrow,WTSP,9,1043,Zonotrichia albicollis,1B,"1B, 1, 1A, 1P",,,
690,5581,Rufous-collared Sparrow,RUFS,9,1042,Zonotrichia capensis,"1, 1B","1, 1B",,,
